Years,India,Pakistan,Sri Lanka,Bangladesh,Maldives,United Kingdom
2000,4.68E+11,82017743416,16330814180,53369787319,624337145.3,1.67E+12
2001,4.85E+11,79484403985,15749753805,53991289844,870030468.6,1.65E+12
2002,5.15E+11,79904985385,16536535647,54724081491,897031250,1.79E+12
2003,6.08E+11,91760542940,18881765437,60158929188,1052121055,2.06E+12
2004,7.09E+11,1.08E+11,20662525941,65108544250,1226829563,2.42E+12
2005,8.20E+11,1.20E+11,24405791045,69442943089,1163362438,2.54E+12
2006,9.40E+11,1.37E+11,28279814925,71819083684,1575200391,2.71E+12
2007,1.22E+12,1.52E+11,32350248411,79611888213,1868383461,3.09E+12
2008,1.20E+12,1.70E+11,40713812310,91631278239,2271646188,2.93E+12
2009,1.34E+12,1.68E+11,42066217872,1.02E+11,2345294875,2.42E+12
2010,1.68E+12,1.77E+11,58636150710,1.15E+11,2588176055,2.49E+12
2011,1.82E+12,2.14E+11,67753288946,1.29E+11,2774351760,2.67E+12
2012,1.83E+12,2.24E+11,70447191496,1.33E+11,2886170572,2.71E+12
2013,1.86E+12,2.31E+11,77000596661,1.50E+11,3295011382,2.79E+12
2014,2.04E+12,2.44E+11,82528526230,1.73E+11,3697351597,3.07E+12
2015,2.10E+12,2.71E+11,85140963537,1.95E+11,4109424800,2.93E+12
2016,2.29E+12,3.14E+11,88012262257,2.65E+11,4379136462,2.70E+12
2017,2.65E+12,3.39E+11,94376246467,2.94E+11,4754175869,2.68E+12
2018,2.70E+12,3.56E+11,94493847352,3.21E+11,5300962660,2.88E+12
2019,2.83E+12,3.21E+11,89014990792,3.51E+11,5609400722,2.86E+12
2020,2.67E+12,3.00E+11,85349112171,3.74E+11,3746321936,2.70E+12
