Years,India,Pakistan,Sri Lanka,Bangladesh,Maldives,United Kingdom
2000,442.0347789,531.3064961,869.696285,413.1001853,2209.988231,28290.9725
2001,449.9111249,499.2183062,832.8035723,410.0485409,3028.046626,27886.79859
2002,468.8444283,489.4255272,867.4914868,407.9629676,3069.039872,30079.66004
2003,543.8437989,549.870377,982.195697,440.7144048,3539.801547,34479.39293
2004,624.1050944,631.4711708,1065.784437,469.1164584,4060.534405,40390.78583
2005,710.5093449,688.5005879,1248.698185,492.8086489,3789.232024,42131.6994
2006,802.013742,770.8433394,1435.816813,503.5383322,5010.163424,44536.61972
2007,1022.731629,837.6315379,1630.388906,552.3389345,5746.644258,50435.37029
2008,993.5037725,914.7314893,2037.322103,630.1089792,6743.130961,47429.93634
2009,1096.63498,884.4410142,2090.401826,698.5210262,6719.330257,38821.17958
2010,1350.634322,911.0904448,2893.934899,776.8595769,7158.061411,39693.19387
2011,1449.601789,1075.450496,3321.484532,856.3815861,7409.335968,42150.69814
2012,1434.018198,1109.679115,3449.066903,876.8175451,7447.432572,42485.58607
2013,1438.05748,1126.041261,3740.616792,973.7733926,8222.563389,43449.09172
2014,1559.864518,1173.392454,3971.918675,1108.5151,8872.124925,47447.58893
2015,1590.173918,1282.443153,4060.131785,1236.00506,9434.331078,45071.07432
2016,1714.280355,1468.821421,4150.934408,1659.961605,9640.324009,41146.07736
2017,1957.968841,1567.640986,4401.056075,1815.609426,10062.98312,40621.33448
2018,1974.377788,1620.742857,4360.583634,1963.411855,10823.63669,43306.3083
2019,2047.232704,1437.165907,4082.69462,2122.078851,11118.55654,42747.08046
2020,1910.421473,1322.315036,3893.841515,2233.305524,7282.358489,40318.55757
